,age,salary,add_comp,overall_exp,job_exp,education,gender
16109,45-54,71300.0,0.0,21 - 30 years,11 - 20 years,Some college,Man
16110,25-34,79900.0,4700.0,5-7 years,5-7 years,College degree,Man
16111,25-34,56357.7,4700.0,5-7 years,5-7 years,College degree,Woman
16112,35-44,66700.0,4600.0,11 - 20 years,11 - 20 years,PhD,Woman
16113,35-44,73320.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
16114,25-34,53580.0,0.0,5-7 years,5-7 years,College degree,Man
16115,35-44,41360.0,470.0,11 - 20 years,5-7 years,Some college,Woman
16116,25-34,180856.0,141000.0,8 - 10 years,8 - 10 years,College degree,Woman
16117,25-34,39480.0,14100.0,5-7 years,2 - 4 years,High School,Man
16118,45-54,44850.0,0.0,31 - 40 years,11 - 20 years,Master's degree,Man
16119,35-44,188000.0,235000.0,21 - 30 years,21 - 30 years,Master's degree,Man
16120,35-44,79900.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16121,35-44,29899.999999999996,0.0,21 - 30 years,2 - 4 years,High School,Man
16122,45-54,62099.99999999999,0.0,21 - 30 years,21 - 30 years,Some college,Man
16123,35-44,43527.5,575.0,11 - 20 years,11 - 20 years,College degree,Man
16124,25-34,34500.0,0.0,11 - 20 years,11 - 20 years,Some college,Man
16125,35-44,48299.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Man
16126,25-34,34800.0,0.0,11 - 20 years,5-7 years,College degree,Man
16127,55-64,124199.99999999999,9200.0,31 - 40 years,31 - 40 years,Master's degree,Man
16128,25-34,61100.0,0.0,5-7 years,1 year or less,College degree,Man
16129,35-44,169200.0,0.0,31 - 40 years,21 - 30 years,College degree,Man
16130,25-34,45994.25,345.0,8 - 10 years,5-7 years,PhD,Man
16131,25-34,117265.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16133,25-34,78020.0,4700.0,8 - 10 years,5-7 years,College degree,Other or prefer not to answer
16134,25-34,58280.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16135,25-34,67505.0,8049.999999999999,5-7 years,2 - 4 years,PhD,Man
16136,25-34,66740.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
16137,45-54,63920.0,7050.0,21 - 30 years,11 - 20 years,College degree,Woman
16138,35-44,103400.0,15510.0,11 - 20 years,8 - 10 years,College degree,Man
16139,18-24,37600.0,1128.0,2 - 4 years,2 - 4 years,College degree,Non-binary
16140,25-34,150400.0,18800.0,2 - 4 years,2 - 4 years,College degree,Woman
16141,25-34,71440.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16142,25-34,89300.0,28200.0,5-7 years,2 - 4 years,College degree,Man
16143,45-54,95880.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
16144,35-44,235000.0,0.0,8 - 10 years,5-7 years,Master's degree,Man
16146,25-34,71440.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16147,25-34,75200.0,18800.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
16148,35-44,62980.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16149,45-54,73320.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
16150,35-44,850000.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16151,25-34,57340.0,0.0,8 - 10 years,5-7 years,College degree,Man
16152,25-34,34500.0,4600.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16153,25-34,24149.999999999996,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16154,35-44,94000.0,0.0,11 - 20 years,8 - 10 years,Some college,Man
16155,25-34,27372.8,0.0,5-7 years,2 - 4 years,High School,Non-binary
16156,25-34,156040.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Man
16157,35-44,126900.0,940.0,11 - 20 years,8 - 10 years,College degree,Man
16158,35-44,37000.0,1200.0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
16159,25-34,61100.0,940.0,8 - 10 years,8 - 10 years,College degree,Man
16160,25-34,50000.0,0.0,5-7 years,5-7 years,PhD,Woman
16161,35-44,85540.0,6580.0,11 - 20 years,11 - 20 years,College degree,Woman
16162,25-34,117500.0,0.0,11 - 20 years,5-7 years,College degree,Man
16163,35-44,92000.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
16164,35-44,59220.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16165,35-44,1033999.9999999999,0.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
16166,35-44,75000.0,0.0,11 - 20 years,8 - 10 years,High School,Man
16167,35-44,77080.0,2820.0,11 - 20 years,8 - 10 years,College degree,Man
16168,25-34,33741.0,2346.0,8 - 10 years,5-7 years,College degree,Woman
16169,45-54,157920.0,2820.0,11 - 20 years,11 - 20 years,PhD,Man
16170,25-34,129719.99999999999,0.0,5-7 years,5-7 years,PhD,Man
16171,35-44,78960.0,15040.0,21 - 30 years,21 - 30 years,College degree,Man
16172,25-34,50760.0,470.0,5-7 years,5-7 years,Master's degree,Non-binary
16173,35-44,42300.0,0.0,11 - 20 years,8 - 10 years,Some college,Woman
16174,25-34,526400.0,0.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
16175,25-34,155100.0,9400.0,8 - 10 years,8 - 10 years,College degree,Man
16176,25-34,57340.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
16177,35-44,80417.0,0.0,8 - 10 years,1 year or less,College degree,Man
16178,25-34,34780.0,0.0,8 - 10 years,1 year or less,College degree,Woman
16179,35-44,43992.0,0.0,11 - 20 years,11 - 20 years,High School,Woman
16180,25-34,56400.0,14100.0,5-7 years,8 - 10 years,High School,Man
16181,25-34,62099.99999999999,0.0,5-7 years,5-7 years,Master's degree,Man
16182,45-54,159800.0,42300.0,21 - 30 years,21 - 30 years,College degree,Man
16183,25-34,149500.0,23000.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16184,35-44,34500.0,0.0,11 - 20 years,8 - 10 years,Some college,Man
16185,35-44,55460.0,0.0,11 - 20 years,11 - 20 years,PhD,Man
16186,35-44,40250.0,0.0,2 - 4 years,5-7 years,PhD,Man
16187,25-34,40420.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
16188,25-34,23776.249999999996,0.0,11 - 20 years,5-7 years,Master's degree,Man
16189,25-34,54894.119999999995,1410.0,5-7 years,5-7 years,Master's degree,Woman
16190,25-34,71440.0,0.0,5-7 years,5-7 years,Master's degree,Woman
16191,45-54,222780.0,37600.0,21 - 30 years,21 - 30 years,Some college,Man
16192,45-54,126900.0,18800.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16193,25-34,49449.99999999999,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
16194,25-34,47000.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
16195,25-34,146640.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16196,25-34,126900.0,11750.0,8 - 10 years,2 - 4 years,College degree,Woman
16197,35-44,44180.0,0.0,5-7 years,5-7 years,High School,Man
16198,25-34,62040.0,940.0,8 - 10 years,5-7 years,Master's degree,Woman
16199,35-44,55199.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Man
16200,35-44,23000.0,1150.0,8 - 10 years,1 year or less,PhD,Woman
16201,35-44,33120.0,0.0,5-7 years,5-7 years,College degree,Man
16202,35-44,94000.0,9400.0,11 - 20 years,8 - 10 years,Master's degree,Man
16203,25-34,34216.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16204,25-34,98700.0,7520.0,8 - 10 years,8 - 10 years,Master's degree,Man
16205,55-64,39480.0,0.0,31 - 40 years,11 - 20 years,Master's degree,Woman
16206,25-34,62980.0,2350.0,5-7 years,2 - 4 years,College degree,Woman
16207,45-54,92000.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
16208,45-54,65800.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
16209,25-34,91180.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
16211,45-54,216200.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
16212,25-34,79900.0,0.0,5-7 years,5-7 years,College degree,Woman
16213,25-34,41400.0,0.0,5-7 years,5-7 years,College degree,Woman
16214,45-54,57708.479999999996,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16215,25-34,48880.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16216,25-34,41400.0,0.0,5-7 years,5-7 years,Master's degree,Woman
16217,25-34,130000.0,0.0,5-7 years,5-7 years,Master's degree,Man
16219,35-44,98700.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16220,25-34,51512.0,2350.0,2 - 4 years,2 - 4 years,College degree,Woman
16221,25-34,48880.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16222,18-24,59878.0,0.0,1 year or less,1 year or less,College degree,Woman
16223,25-34,128779.99999999999,13160.0,5-7 years,5-7 years,College degree,Man
16224,35-44,81498.0,1880.0,11 - 20 years,8 - 10 years,College degree,Man
16225,35-44,114160.49999999999,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
16226,25-34,16920.0,0.0,5-7 years,5-7 years,College degree,Woman
16227,25-34,103400.0,14100.0,5-7 years,2 - 4 years,Master's degree,Woman
16228,25-34,60160.0,1692.0,5-7 years,5-7 years,Master's degree,Woman
16229,25-34,58280.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16230,25-34,122200.0,47000.0,5-7 years,5-7 years,Master's degree,Woman
16231,25-34,80840.0,8083.999999999999,11 - 20 years,8 - 10 years,College degree,Woman
16232,45-54,211500.0,31020.0,21 - 30 years,21 - 30 years,Master's degree,Woman
16233,25-34,69000.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16234,35-44,70500.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16235,35-44,66700.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16236,25-34,53474.99999999999,827.9999999999999,11 - 20 years,5-7 years,Some college,Woman
16237,35-44,45120.0,0.0,21 - 30 years,5-7 years,Master's degree,Man
16238,25-34,70500.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16239,35-44,162620.0,0.0,8 - 10 years,8 - 10 years,Some college,Man
16240,25-34,48880.0,0.0,5-7 years,5-7 years,College degree,Man
16241,25-34,70500.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
16242,25-34,56400.0,470.0,5-7 years,5-7 years,Master's degree,Man
16243,35-44,51749.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Man
16244,35-44,43125.0,0.0,5-7 years,5-7 years,PhD,Man
16245,35-44,83660.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16246,25-34,159800.0,32900.0,11 - 20 years,11 - 20 years,Master's degree,Man
16247,25-34,155100.0,23500.0,11 - 20 years,11 - 20 years,College degree,Man
16248,25-34,112800.0,0.94,8 - 10 years,2 - 4 years,Master's degree,Woman
16249,18-24,108100.0,2350.0,2 - 4 years,2 - 4 years,Some college,Man
16250,35-44,62168.99999999999,9315.0,21 - 30 years,11 - 20 years,Some college,Man
16251,45-54,70500.0,352.5,31 - 40 years,21 - 30 years,College degree,Woman
16252,35-44,133480.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16253,25-34,35676.759999999995,0.0,2 - 4 years,1 year or less,Some college,Woman
16254,45-54,124199.99999999999,57499.99999999999,21 - 30 years,21 - 30 years,Master's degree,Man
16255,35-44,105799.99999999999,46000.0,8 - 10 years,2 - 4 years,PhD,Man
16256,25-34,51700.0,3760.0,8 - 10 years,2 - 4 years,College degree,Man
16257,35-44,55460.0,14100.0,11 - 20 years,11 - 20 years,PhD,Woman
16258,35-44,28861.55,0.0,11 - 20 years,11 - 20 years,College degree,Man
16259,35-44,65329.99999999999,0.0,21 - 30 years,11 - 20 years,College degree,Man
16260,35-44,106690.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16261,25-34,50760.0,940.0,8 - 10 years,8 - 10 years,College degree,Woman
16262,25-34,64859.99999999999,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16263,45-54,47000.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
16264,25-34,64859.99999999999,3290.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16265,25-34,57499.99999999999,0.0,8 - 10 years,5-7 years,College degree,Woman
16266,25-34,211500.0,188000.0,5-7 years,2 - 4 years,PhD,Man
16267,25-34,84600.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16268,25-34,150400.0,23500.0,5-7 years,2 - 4 years,College degree,Man
16269,25-34,65800.0,0.0,8 - 10 years,2 - 4 years,College degree,Man
16270,25-34,84600.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16271,25-34,31960.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16272,25-34,109040.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16273,25-34,12419.999999999998,0.0,5-7 years,2 - 4 years,Some college,Woman
16274,25-34,29899.999999999996,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16275,45-54,71158.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
16276,35-44,101520.0,6580.0,11 - 20 years,11 - 20 years,Master's degree,Man
16277,35-44,197400.0,19740.0,11 - 20 years,11 - 20 years,Some college,Man
16278,45-54,38525.0,3852.4999999999995,11 - 20 years,11 - 20 years,High School,Man
16279,35-44,155100.0,9400.0,11 - 20 years,8 - 10 years,Master's degree,Man
16280,25-34,79900.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
16282,25-34,108100.0,0.0,11 - 20 years,5-7 years,High School,Woman
16283,25-34,65800.0,4700.0,5-7 years,5-7 years,College degree,Woman
16284,25-34,79900.0,4700.0,5-7 years,5-7 years,College degree,Woman
16285,25-34,76252.8,0.0,5-7 years,2 - 4 years,College degree,Woman
16286,35-44,76140.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
16287,25-34,75200.0,0.0,2 - 4 years,2 - 4 years,Some college,Woman
16288,25-34,84600.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
16289,25-34,41360.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16290,45-54,103499.99999999999,11500.0,21 - 30 years,21 - 30 years,PhD,Man
16291,35-44,65800.0,15040.0,11 - 20 years,8 - 10 years,Master's degree,Man
16292,55-64,82800.0,0.0,31 - 40 years,21 - 30 years,College degree,Man
16293,25-34,60611.2,902.4,5-7 years,5-7 years,Master's degree,Woman
16294,25-34,83819.79999999999,0.0,8 - 10 years,2 - 4 years,College degree,Man
16295,35-44,188000.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16296,25-34,169200.0,0.0,5-7 years,5-7 years,College degree,Woman
16297,25-34,66000.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
16298,55-64,55199.99999999999,11500.0,31 - 40 years,31 - 40 years,College degree,Man
16299,45-54,52318.2,0.0,21 - 30 years,2 - 4 years,Some college,Man
16300,25-34,89300.0,470.0,11 - 20 years,5-7 years,College degree,Woman
16301,35-44,136300.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16302,25-34,48299.99999999999,0.0,5-7 years,2 - 4 years,High School,Man
16303,35-44,74520.0,1380.0,11 - 20 years,11 - 20 years,College degree,Woman
16304,25-34,45120.0,8460.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16305,25-34,40420.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
16306,25-34,51812.799999999996,0.0,2 - 4 years,5-7 years,Master's degree,Woman
16307,25-34,124080.0,12220.0,11 - 20 years,8 - 10 years,College degree,Man
16308,25-34,188000.0,0.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
16309,35-44,57499.99999999999,46000.0,11 - 20 years,11 - 20 years,High School,Man
16310,25-34,26449.999999999996,1552.4999999999998,8 - 10 years,8 - 10 years,College degree,Woman
16311,35-44,37600.0,0.0,8 - 10 years,5-7 years,High School,Man
16312,25-34,82720.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
16313,25-34,65800.0,4700.0,8 - 10 years,5-7 years,College degree,Woman
16314,25-34,55199.99999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
16315,25-34,52906.899999999994,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16316,25-34,55648.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
16317,45-54,57269.99999999999,43056.0,21 - 30 years,2 - 4 years,College degree,Man
16318,25-34,97749.99999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
16319,45-54,150000.0,45000.0,21 - 30 years,2 - 4 years,College degree,Man
16320,35-44,58963.38,9400.0,11 - 20 years,2 - 4 years,Some college,Woman
16321,25-34,80840.0,4700.0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
16322,25-34,48813.6,7296.927999999999,8 - 10 years,5-7 years,Master's degree,Man
16323,35-44,102648.0,2350.0,21 - 30 years,21 - 30 years,Some college,Man
16324,25-34,300800.0,0.0,2 - 4 years,1 year or less,College degree,Non-binary
16325,45-54,117500.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16326,25-34,38640.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
16327,55-64,50760.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
16328,35-44,103400.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16329,25-34,87890.0,14100.0,2 - 4 years,2 - 4 years,College degree,Woman
16330,35-44,21528.0,345.0,11 - 20 years,8 - 10 years,College degree,Non-binary
16331,35-44,77550.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16332,35-44,108100.0,10810.0,11 - 20 years,11 - 20 years,College degree,Woman
16333,45-54,296100.0,18800.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
16334,35-44,67680.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16335,35-44,100580.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16336,25-34,97680.0,7200.0,5-7 years,5-7 years,Master's degree,Woman
16337,45-54,126900.0,0.0,31 - 40 years,21 - 30 years,College degree,Man
16338,35-44,72450.0,4600.0,11 - 20 years,11 - 20 years,High School,Man
16339,18-24,14175.199999999999,0.0,2 - 4 years,2 - 4 years,High School,Man
16340,25-34,49820.0,49820.0,8 - 10 years,8 - 10 years,Master's degree,Woman
16341,35-44,89300.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16342,25-34,108100.0,10810.0,5-7 years,5-7 years,College degree,Woman
16343,35-44,79900.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
16344,25-34,67429.95999999999,2632.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16345,35-44,68620.0,0.0,8 - 10 years,5-7 years,PhD,Man
16346,35-44,56924.99999999999,8280.0,21 - 30 years,21 - 30 years,Some college,Man
16347,45-54,90575.58,0.0,31 - 40 years,21 - 30 years,Some college,Man
16348,35-44,69560.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16349,25-34,164500.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16350,55-64,44850.0,0.0,31 - 40 years,11 - 20 years,High School,Man
16351,35-44,190820.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16352,25-34,32900.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16353,25-34,48880.0,0.0,5-7 years,2 - 4 years,College degree,Man
16354,25-34,51700.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16355,25-34,188000.0,0.0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man
16356,45-54,145700.0,47000.0,21 - 30 years,21 - 30 years,Master's degree,Man
16357,35-44,81588.23999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16358,25-34,75900.0,5750.0,11 - 20 years,11 - 20 years,College degree,Man
16359,25-34,28289.999999999996,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16360,35-44,70000.0,21000.0,8 - 10 years,5-7 years,Master's degree,Man
16361,35-44,86480.0,9400.0,11 - 20 years,8 - 10 years,College degree,Man
16362,25-34,189880.0,282000.0,8 - 10 years,8 - 10 years,Master's degree,Man
16363,35-44,97760.0,6580.0,21 - 30 years,8 - 10 years,Some college,Man
16364,35-44,78020.0,4700.0,11 - 20 years,2 - 4 years,Master's degree,Woman
16365,25-34,103400.0,14100.0,8 - 10 years,2 - 4 years,Master's degree,Woman
16366,35-44,58280.0,0.0,21 - 30 years,21 - 30 years,Some college,Woman
16367,25-34,98700.0,5640.0,2 - 4 years,2 - 4 years,College degree,Woman
16368,35-44,89300.0,1880.0,11 - 20 years,8 - 10 years,College degree,Man
16369,35-44,52474.49999999999,2070.0,11 - 20 years,5-7 years,College degree,Woman
16370,25-34,81780.0,940.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16371,25-34,84600.0,0.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man
16372,25-34,44032.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
16373,45-54,59220.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
16374,25-34,87608.0,4700.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16375,45-54,157920.0,0.0,21 - 30 years,21 - 30 years,Some college,Man
16376,35-44,77917.54,0.0,11 - 20 years,11 - 20 years,College degree,Man
16377,25-34,40420.0,2820.0,1 year or less,1 year or less,Master's degree,Woman
16378,25-34,75200.0,0.0,5-7 years,5-7 years,College degree,Woman
16379,25-34,69560.0,0.0,5-7 years,5-7 years,College degree,Man
16380,25-34,36225.0,0.0,5-7 years,5-7 years,Master's degree,Woman
16381,45-54,79900.0,8460.0,11 - 20 years,8 - 10 years,Master's degree,Woman
16382,35-44,52170.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
16383,35-44,55199.99999999999,0.0,11 - 20 years,2 - 4 years,High School,Man
16384,35-44,80000.0,20000.0,21 - 30 years,21 - 30 years,High School,Man
16385,25-34,103400.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
16386,35-44,151528.0,22729.199999999997,11 - 20 years,11 - 20 years,College degree,Man
16387,25-34,173900.0,37600.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man
16388,25-34,46060.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
16389,25-34,75200.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
16390,25-34,69090.0,3290.0,5-7 years,2 - 4 years,Master's degree,Non-binary
16391,25-34,62040.0,0.0,5-7 years,2 - 4 years,College degree,Other or prefer not to answer
16392,35-44,34419.5,0.0,11 - 20 years,11 - 20 years,PhD,Woman
16393,35-44,56579.99999999999,0.0,11 - 20 years,5-7 years,Master's degree,Woman
16394,45-54,48644.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Woman
16396,35-44,219960.0,11280.0,11 - 20 years,11 - 20 years,College degree,Man
16397,25-34,61100.0,4700.0,8 - 10 years,5-7 years,Master's degree,Woman
16398,45-54,92120.0,14100.0,21 - 30 years,11 - 20 years,College degree,Woman
16399,25-34,122200.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
16400,35-44,56400.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16401,35-44,141000.0,56400.0,11 - 20 years,5-7 years,College degree,Woman
16402,35-44,110399.99999999999,0.0,11 - 20 years,11 - 20 years,PhD,Man
16403,45-54,93060.0,1880.0,11 - 20 years,11 - 20 years,PhD,Man
16404,35-44,48600.0,0.0,11 - 20 years,5-7 years,Master's degree,Man
16405,45-54,108000.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
16406,35-44,155100.0,23500.0,11 - 20 years,11 - 20 years,Master's degree,Woman
16407,25-34,41830.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
16408,45-54,69000.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
16409,25-34,47940.0,940.0,8 - 10 years,8 - 10 years,College degree,Woman
16410,25-34,62980.0,2820.0,5-7 years,2 - 4 years,College degree,Man
16411,18-24,65800.0,18800.0,1 year or less,1 year or less,College degree,Woman
16412,35-44,131100.0,41400.0,11 - 20 years,11 - 20 years,Some college,Man
16413,25-34,39330.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16414,25-34,91010.79999999999,22748.0,8 - 10 years,5-7 years,College degree,Woman
16415,25-34,58534.74,0.0,5-7 years,5-7 years,Master's degree,Woman
16416,18-24,50760.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16417,25-34,54520.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
16418,25-34,222780.0,51700.0,8 - 10 years,5-7 years,College degree,Woman
16419,25-34,28670.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
16420,45-54,62099.99999999999,6899.999999999999,11 - 20 years,11 - 20 years,College degree,Man
16422,25-34,33009.6,0.0,2 - 4 years,2 - 4 years,College degree,Woman
16423,25-34,82720.0,3760.0,8 - 10 years,8 - 10 years,College degree,Woman
16424,25-34,136300.0,14100.0,8 - 10 years,8 - 10 years,College degree,Woman
16425,45-54,103499.99999999999,0.0,21 - 30 years,21 - 30 years,College degree,Man
16426,25-34,63920.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
16427,55-64,34444.799999999996,0.0,21 - 30 years,11 - 20 years,College degree,Woman
16428,25-34,61100.0,2068.0,8 - 10 years,5-7 years,College degree,Non-binary
16429,45-54,169200.0,15040.0,31 - 40 years,31 - 40 years,Master's degree,Man
16430,25-34,68150.0,6768.0,5-7 years,5-7 years,College degree,Woman
16431,35-44,117500.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
16432,35-44,202100.0,47000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16433,35-44,180480.0,122200.0,11 - 20 years,11 - 20 years,Some college,Man
16434,45-54,126900.0,1880.0,21 - 30 years,21 - 30 years,College degree,Man
16435,45-54,67620.0,0.0,21 - 30 years,8 - 10 years,College degree,Woman
16436,18-24,120026.71999999999,13220.16,1 year or less,1 year or less,College degree,Woman
16437,25-34,48504.0,0.0,5-7 years,2 - 4 years,College degree,Woman
16438,25-34,44598.299999999996,6531.12,8 - 10 years,5-7 years,Some college,Man
16439,35-44,75200.0,28200.0,11 - 20 years,8 - 10 years,College degree,Woman
16440,18-24,61100.0,11280.0,1 year or less,1 year or less,College degree,Woman
16441,25-34,47940.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
16442,25-34,108100.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
16443,35-44,94000.0,18800.0,11 - 20 years,11 - 20 years,College degree,Man
16444,35-44,99640.0,5640.0,5-7 years,2 - 4 years,College degree,Woman
16445,35-44,108100.0,9400.0,11 - 20 years,11 - 20 years,College degree,Man
16446,25-34,30079.059999999998,0.0,11 - 20 years,11 - 20 years,Some college,Woman
16447,35-44,56349.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
16448,45-54,157920.0,18800.0,11 - 20 years,11 - 20 years,PhD,Man
16449,35-44,36660.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
16450,35-44,96820.0,9400.0,11 - 20 years,8 - 10 years,High School,Man
16451,45-54,60949.99999999999,0.0,11 - 20 years,11 - 20 years,PhD,Man
16452,25-34,48880.0,0.0,5-7 years,2 - 4 years,College degree,Man
16453,35-44,193640.0,70500.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
16454,18-24,42300.0,0.0,1 year or less,1 year or less,Some college,Woman
16455,25-34,23919.999999999996,3449.9999999999995,8 - 10 years,8 - 10 years,High School,Woman
16456,25-34,47000.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
16457,25-34,123140.0,18800.0,8 - 10 years,8 - 10 years,College degree,Woman
16458,35-44,114999.99999999999,86250.0,21 - 30 years,21 - 30 years,Master's degree,Man
